"EntraID","DisplayName","UserPrincipalName","JobTitle","Department","City","Country","UsageLocation","ManagerName","ManagerUPN","HasCopilotLicense"
"4c79c10a-ff29-4797-a598-84222caf330b","Henry Phillips","henry.phillips@wvboy.com","UX Designer",,,,"US","","","False"
"5c3801cc-5668-4245-9c39-225b09a911ea","Sophia Cooper","sophia.cooper@wvboy.com","Data Scientist",,,,"US","","","False"
"5ca7ddd0-f069-47df-9d32-c1795371f094","Toby Flenderson","toby@wvboy.com","Human Resources",,,,"US","","","False"
"5fc26041-7bae-4bbf-8ba6-605548d6eab2","Todd Packer","packer@wvboy.com","Outside Sales",,,,"US","Andy Bernard","andy@wvboy.com","True"
"61e3d017-ed00-49c8-adbd-95f54971c70c","Nathan Richardson","nathan.richardson@wvboy.com","Consultant",,,,"US","","","False"
"735ca3f6-1cfb-4798-ba38-0c1faaf121e7","Grace Bennett","grace.bennett@wvboy.com","Consultant",,,,"US","","","False"
"76834ab9-d8bc-4aff-978e-7fd85a2a65f1","Jan Levinson","jan@wvboy.com","Senior VP, Sales",,,,"US","Hadar Caspit","Hadar@wvboy.com","False"
"7a60894b-9d65-4522-9d88-7e3e95d7cd7b","Anna Lopez","anna.lopez@wvboy.com","Research Analyst",,,,"US","","","False"
"7cb795ef-85d0-4b24-9e7b-9f75720bb2e0","James Evans","james.evans@wvboy.com","Product Manager",,,,"US","","","False"
"8c85d6ec-6be5-4afd-920c-b8ddb9ee5ba6","Edward Young","edward.young@wvboy.com","Sales Representative",,,,"US","","","False"
"97215833-9d77-4e7f-9c0a-d045ad569767","Nellie Bertram","nellie@wvboy.com","Office Manager",,,,"US","Stanley Hudson","stanley@wvboy.com","True"
"9a73c6d5-110f-4963-864c-62ad24c34dee","Robert California","robert@wvboy.com","President",,,,"US","Hadar Caspit","Hadar@wvboy.com","True"
"9a7e4fb0-b3bf-45f3-9575-bf66c7a10e97","Dwight Schrute","dwight@wvboy.com","Assistant to the Regional Manager",,,,"US","Nellie Bertram","nellie@wvboy.com","False"
"a089a447-6ad2-44f0-b147-3bc182ac4454","Stephen Hall","stephen.hall@wvboy.com","IT Support Specialist",,,,"US","","","False"
"aa17720e-d2a5-499c-ba99-d5ae80cb26d5","Jennifer Patterson","jennifer.patterson@wvboy.com","IT Support Specialist",,,,"US","","","False"
"b02d226e-0dec-40fc-bb33-67ccd7de4148","Benjamin Johnson","benjamin.johnson@wvboy.com","IT Support Specialist",,,,"US","","","False"
"b2d4cd09-6429-4cbd-98aa-0ca3a6e0b424","Victoria West","victoria.west@wvboy.com","Quality Assurance Engineer",,,,"US","","","False"
"b48c2677-d3c0-4297-a315-63075b3be8d1","Pam Beesly","pam@wvboy.com","Office Manager",,,,"US","Darryl Philbin","darryl@wvboy.com","True"
"bacbb7b9-7553-407c-b13c-7c6fae2d4fe0","Creed Bratton","creed@wvboy.com","Quality Assurance",,,,"US","Holly Flax","holly@wvboy.com","True"
"cc448a43-3f54-43b5-b626-2dbfae23fdc0","Katherine Edwards","katherine.edwards@wvboy.com","Customer Success Manager",,,,"US","","","False"
"d2d3246d-0f9c-43e2-9a8e-d449e8726905","Jim Halpert","jim@wvboy.com","Sales",,,,"US","Stanley Hudson","stanley@wvboy.com","True"
"daf0a29a-a25a-4330-88ee-73a292ef31a6","Michael Scott","michael@wvboy.com","Regional Manager",,,,"US","Meredith Palmer","meredith@wvboy.com","True"
"dd436f59-c69b-4c14-9d95-648123a075ef","Alexandra Mitchell","alexandra.mitchell@wvboy.com","HR Specialist",,,,"US","","","False"
"ddf90c71-5376-43f2-9282-d4135190e811","Megan Lopez","megan.lopez@wvboy.com","Sales Representative",,,,"US","","","False"
"e1f86f90-a8a8-47e0-8759-080dc2019a3b","Gabriel Morgan","gabriel.morgan@wvboy.com","HR Specialist",,,,"US","","","False"
"e68430aa-9767-4156-b23d-524112cc99ee","Mark Allen","mark.allen@wvboy.com","Training Coordinator",,,,"US","","","False"
"e707c13e-0b3e-432e-b0b7-943d03f5ebec","Isabella Butler","isabella.butler@wvboy.com","UX Designer",,,,"US","","","False"
"f39fae49-75d4-4a21-9998-cc57fdd68995","Ryan Howard","ryan@wvboy.com","Temp",,,,"US","Michael Scott","michael@wvboy.com","True"
"ffaa96b4-edfb-4ffe-9672-a41b191a9bb0","Phyllis Vance","phyllis@wvboy.com","Accounting",,,,"US","Toby Flenderson","toby@wvboy.com","True"
